borough,cost_of_living
Barking and Dagenham,0.45
Barnet,0.72
Bexley,0.55
Brent,0.83
Bromley,0.69
Camden,1.05
Croydon,0.6
Ealing,0.79
Enfield,0.65
Greenwich,0.57
Hackney,0.79
Hammersmith and Fulham,1.03
Haringey,0.76
Harrow,0.71
Havering,0.54
Hillingdon,0.69
Hounslow,0.72
Islington,0.94
Kensington and Chelsea,1.49
Kingston upon Thames,0.84
Lambeth,0.77
Lewisham,0.6
Merton,0.85
Newham,0.6
Redbridge,0.65
Richmond upon Thames,1.0
Southwark,0.78
Sutton,0.66
Tower Hamlets,0.72
Waltham Forest,0.62
Wandsworth,0.97
Westminster,1.39
